timestamp,client_ip,request_uri,method,status_code,message
2025-01-01T03:57:30 Z,197.120.222.201,/rest/user/register,DELETE,200,XSS Attack Detected
2025-01-02T15:48:43 Z,186.38.71.30,/rest/product/1/reviews,GET,500,SQL Injection Detected
2025-01-02T15:23:13 Z,149.0.215.234,/rest/product/1/reviews,GET,404,XSS Attack Detected
2025-01-02T00:08:25 Z,95.23.242.166,/rest/product/1/reviews,PUT,500,CSRF Attack Detected
2025-01-02T23:54:24 Z,105.215.133.161,/rest/user/register,PUT,200,Command Injection Detected
2025-01-01T06:06:36 Z,109.185.162.17,/rest/order/checkout,PUT,404,Command Injection Detected
2025-01-02T12:38:37 Z,26.123.200.155,/rest/user/login,DELETE,200,Command Injection Detected
2025-01-01T01:00:41 Z,70.83.98.111,/rest/user/register,PUT,404,Command Injection Detected
2025-01-02T08:10:18 Z,166.223.164.39,/rest/user/register,GET,400,CSRF Attack Detected
2025-01-02T22:49:23 Z,81.190.111.180,/rest/product/1/reviews,GET,500,XSS Attack Detected
2025-01-01T10:11:44 Z,232.166.235.22,/rest/order/checkout,POST,500,SQL Injection Detected
2025-01-02T19:47:13 Z,144.162.165.80,/rest/user/login,GET,404,Command Injection Detected
2025-01-01T21:00:05 Z,165.122.155.7,/rest/product/1/reviews,PUT,200,XSS Attack Detected
2025-01-01T21:48:04 Z,241.79.42.41,/rest/order/checkout,POST,200,Command Injection Detected
2025-01-02T21:11:13 Z,202.230.232.131,/rest/order/checkout,POST,200,XSS Attack Detected
2025-01-02T02:24:00 Z,245.188.217.13,/rest/product/1/reviews,GET,200,SQL Injection Detected
2025-01-02T01:39:03 Z,46.120.0.48,/rest/user/register,PUT,404,SQL Injection Detected
2025-01-01T06:22:58 Z,101.238.145.227,/rest/user/login,PUT,404,Command Injection Detected
2025-01-02T01:15:10 Z,160.48.213.230,/rest/user/register,DELETE,200,XSS Attack Detected
2025-01-01T15:04:55 Z,43.101.108.50,/rest/user/register,GET,404,CSRF Attack Detected
2025-01-02T02:10:47 Z,184.234.118.165,/rest/user/register,GET,400,CSRF Attack Detected
2025-01-01T03:22:35 Z,201.61.236.20,/rest/user/register,DELETE,200,SQL Injection Detected
2025-01-01T01:13:11 Z,164.216.18.158,/rest/user/register,DELETE,400,XSS Attack Detected
2025-01-01T23:30:44 Z,206.199.19.233,/rest/product/1/reviews,PUT,400,SQL Injection Detected
2025-01-02T02:31:29 Z,216.244.154.122,/rest/order/checkout,POST,500,Command Injection Detected
2025-01-01T03:30:51 Z,137.75.231.225,/rest/user/register,GET,404,SQL Injection Detected
2025-01-02T05:49:23 Z,33.36.23.110,/rest/order/checkout,DELETE,200,CSRF Attack Detected
2025-01-02T10:00:58 Z,167.65.98.163,/rest/product/1/reviews,DELETE,404,XSS Attack Detected
2025-01-02T06:23:20 Z,143.146.230.134,/rest/order/checkout,DELETE,500,XSS Attack Detected
2025-01-01T03:24:34 Z,131.66.255.109,/rest/user/login,DELETE,404,CSRF Attack Detected
2025-01-01T03:35:38 Z,146.79.95.134,/rest/product/1/reviews,GET,400,CSRF Attack Detected
2025-01-01T00:57:02 Z,114.4.230.203,/rest/product/1/reviews,PUT,500,XSS Attack Detected
2025-01-02T13:00:09 Z,112.93.215.133,/rest/user/login,POST,404,CSRF Attack Detected
2025-01-02T00:38:49 Z,205.152.33.201,/rest/user/register,DELETE,500,XSS Attack Detected
2025-01-02T19:38:48 Z,128.249.21.17,/rest/user/login,PUT,400,SQL Injection Detected
